FEN,Score
1B6/p3pp2/8/6k1/r3b3/2P1n1Pr/P2K4/6R1 b - - 6 63,+7
6Q1/4k3/8/8/1p1P4/1P4K1/1P6/8 w - - 1 162,+7
8/R7/8/b4PNK/1k6/7P/6PR/5B2 w - - 5 103,+8
4k3/8/6K1/8/p7/P7/8/8 b - - 57 263,0
1r6/1ppk2pr/p7/P6p/P3PP2/2P5/K3R3/R7 w - - 12 117,-48
8/pp3p2/n3rN2/1bp4k/8/3P1P1q/PPPR4/R1B3KB b - - 10 64,+146
2K5/8/5R2/5Q2/2k5/8/8/8 w - - 89 307,+4
5r2/7K/6R1/1pp5/1P3P2/1kP3R1/1B5P/8 b - - 9 82,-1174
2k5/p4n2/2p3P1/1R6/8/6P1/PP1B1b2/R4K2 b - - 9 99,-1178
7N/4ppk1/p7/1n3P2/4P3/1P1P4/P5K1/b7 w - - 1 68,-709
8/8/6k1/2K1p2p/4P2P/8/8/8 b - - 3 168,-1094
1B6/8/8/8/b2K2k1/P1r3P1/8/8 w - - 2 122,+67
8/1p6/2Nkr1p1/1Bn1rp2/b2PPP2/4B3/PPP3PP/1R1K2R1 b - - 17 61,-1127
7k/p2pp3/2Pp4/5p2/2PP1p2/P4P1B/RP2K3/2BN4 b - - 0 49,-1327
r1k2br1/2pqpppp/5n2/p3B3/6Q1/2p3P1/PP2PP1P/R4KNR w - - 4 17,+52
2k3K1/5R2/8/8/2P5/4PP2/8/8 b - - 56 256,-7
8/8/1k3P2/3p2Np/1p1PrP1P/8/B5R1/K2R4 b - - 2 117,-1307
r4br1/1b3npp/ppkp4/2n1p3/7P/P5P1/1P1PPP2/RNB1K1R1 b - - 0 26,+1074
7R/1k6/8/1p6/4P2P/6P1/PPP5/4K3 w - - 10 149,+10
8/p2k4/b7/2pK2B1/3n3r/P2P1P2/1PP5/1R5B w - - 11 99,+981
rn2kb1r/ppp1pppp/4b2B/3p4/q5n1/P2P4/1PP1PPPP/RN1QKBNR w KQkq - 9 9,+5
8/1Bp1p3/3p3q/5k2/6r1/1Pb1P1P1/QB1PR2P/RN5K b - - 13 61,-1320
6k1/8/P7/6K1/2P3N1/3PP1P1/3R3P/8 b - - 30 117,-5
3k3R/6K1/8/P7/8/8/8/8 b - - 0 216,-8
8/5k2/P7/5P1P/2PP3K/1P6/8/8 b - - 4 195,-7
8/5R2/1p6/2k4r/7q/3P4/KN1N4/7B w - - 6 115,+4
